geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,vintage_id,year,name
cities_105,NA,NA,NA,NA,condo,1,2016,simi valley
cities_105,416890,2594496.0000,5475.5000,5.6160,condo,2,2016,simi valley
cities_105,2886436,15865017.0000,6051.0000,4.6621,condo,3,2016,simi valley
cities_105,2047253,9199619.0000,5934.5000,3.9585,condo,4,2016,simi valley
cities_105,460,masked,masked,masked,industrial,1,2016,simi valley
cities_105,440400,masked,masked,masked,industrial,2,2016,simi valley
cities_105,4095218,41479954.0000,89151.5000,4.6247,industrial,3,2016,simi valley
cities_105,1982517,masked,masked,masked,industrial,4,2016,simi valley
cities_105,2961,masked,masked,masked,institutional,1,2016,simi valley
cities_105,84785,masked,masked,masked,institutional,2,2016,simi valley
cities_105,75799,masked,masked,masked,institutional,3,2016,simi valley
cities_105,2445,masked,masked,masked,institutional,4,2016,simi valley
cities_105,37843,masked,masked,masked,multi_family,1,2016,simi valley
cities_105,565715,2807718.5000,15309.0000,4.8628,multi_family,2,2016,simi valley
cities_105,1825579,10649466.0000,23021.0000,4.1426,multi_family,3,2016,simi valley
cities_105,1028765,masked,masked,masked,multi_family,4,2016,simi valley
cities_105,NA,NA,NA,NA,other,1,2016,simi valley
cities_105,27393,masked,masked,masked,other,2,2016,simi valley
cities_105,19739,masked,masked,masked,other,3,2016,simi valley
cities_105,18353,masked,masked,masked,other,4,2016,simi valley
cities_105,NA,NA,NA,NA,residential_other,1,2016,simi valley
cities_105,20864,masked,masked,masked,residential_other,2,2016,simi valley
cities_105,5715,masked,masked,masked,residential_other,3,2016,simi valley
cities_105,96223,masked,masked,masked,residential_other,4,2016,simi valley
cities_105,NA,masked,masked,masked,residential_uncat,1,2016,simi valley
cities_105,NA,masked,masked,masked,residential_uncat,2,2016,simi valley
cities_105,NA,masked,masked,masked,residential_uncat,3,2016,simi valley
cities_105,NA,masked,masked,masked,residential_uncat,4,2016,simi valley
cities_105,266846,1765386.0000,8653.0000,5.9172,res_total,1,2016,simi valley
cities_105,29664917,145706386.6667,7454.5000,4.7018,res_total,2,2016,simi valley
cities_105,17562467,80295056.0000,7531.0000,4.1462,res_total,3,2016,simi valley
cities_105,20700287,77382505.5000,8419.0000,3.4960,res_total,4,2016,simi valley
cities_105,229003,1623436.0000,8634.0000,6.0394,single_family,1,2016,simi valley
cities_105,28661448,140208542.1667,7487.0000,4.6789,single_family,2,2016,simi valley
cities_105,12844737,53730220.0000,8086.0000,4.0010,single_family,3,2016,simi valley
cities_105,17528046,62160050.5000,9097.0000,3.4050,single_family,4,2016,simi valley
cities_105,NA,NA,NA,NA,uncat,1,2016,simi valley
cities_105,NA,NA,NA,NA,uncat,2,2016,simi valley
cities_105,NA,NA,NA,NA,uncat,3,2016,simi valley
cities_105,NA,NA,NA,NA,uncat,4,2016,simi valley
cities_106,NA,NA,NA,NA,agriculture,1,2016,thousand oaks
cities_106,NA,NA,NA,NA,agriculture,2,2016,thousand oaks
cities_106,NA,NA,NA,NA,agriculture,3,2016,thousand oaks
cities_106,NA,NA,NA,NA,agriculture,4,2016,thousand oaks
cities_106,31108,masked,masked,masked,commercial,1,2016,thousand oaks
cities_106,1665717,27079535.5000,65813.0000,12.4624,commercial,2,2016,thousand oaks
cities_106,2450076,50938473.0000,124815.0000,13.2804,commercial,3,2016,thousand oaks
cities_106,2744351,masked,masked,masked,commercial,4,2016,thousand oaks
cities_106,NA,NA,NA,NA,condo,1,2016,thousand oaks
cities_106,3327369,16552562.5000,5212.0000,4.6391,condo,2,2016,thousand oaks
cities_106,4112012,18331029.0000,5368.0000,3.5922,condo,3,2016,thousand oaks
cities_106,4625124,15523849.0000,6248.0000,3.1202,condo,4,2016,thousand oaks
cities_106,NA,NA,NA,NA,industrial,1,2016,thousand oaks
cities_106,1215363,10829862.0000,69631.5000,5.0277,industrial,2,2016,thousand oaks
cities_106,2952035,masked,masked,masked,industrial,3,2016,thousand oaks
cities_106,1642265,masked,masked,masked,industrial,4,2016,thousand oaks
cities_106,NA,NA,NA,NA,institutional,1,2016,thousand oaks
cities_106,31642,masked,masked,masked,institutional,2,2016,thousand oaks
cities_106,49605,masked,masked,masked,institutional,3,2016,thousand oaks
cities_106,134893,masked,masked,masked,institutional,4,2016,thousand oaks
cities_106,17426,masked,masked,masked,multi_family,1,2016,thousand oaks
cities_106,2581332,13419850.5000,15347.5000,4.8825,multi_family,2,2016,thousand oaks
