geo_id,name,pop,pop_sqmi,med_income,pct_own,pct_rent,year,enviroscreen_tracts,sqmi,solar_pot,net_solar_pot,count
neighborhoods_204,manchester square,11553,7827.708408,43063,0.660925197,0.468011811,2010,2,1.475910879,44947526.25,-8888,3276
neighborhoods_206,marina del rey,8884,4188.956275,93404.75,0.131311329,0.882783229,2010,0,2.120814689,30416673.75,-8888,59
neighborhoods_207,mar vista,34708,8216.792107,79050.75,0.532375996,0.60806271,2010,0,4.224032877,88965292.5,-8888,8190
neighborhoods_208,mayflower village,10840,6097.350282,67830,0.759114583,0.242513021,2010,0,1.77782143,28518600,-8888,3194
neighborhoods_210,mid-city,51917,10252.8988,45531.75,0.475635059,0.671059272,2010,9,5.063641122,152481198.8,-8888,9516
neighborhoods_211,mid-wilshire,43441,10693.84307,59735,0.316769297,0.808535014,2010,2,4.062244015,114796863.8,-8888,6519
neighborhoods_213,monrovia,37816,1853.846999,69687.5,0.705418089,0.491823094,2010,1,20.3986629,187949531.3,-8888,10831
neighborhoods_214,montebello,62222,5043.861236,50754,0.656160762,0.541406663,2010,12,12.33618394,390054435,-8888,12996
neighborhoods_215,montecito heights,17665,5014.754961,61277,0.713070505,0.447897922,2010,1,3.522604821,20931333.75,-8888,5886
neighborhoods_216,monterey park,60029,5365.656595,56342.75,0.858997585,0.44701087,2010,1,11.1876336,256705953.8,-8888,16223
neighborhoods_217,mount washington,13042,4820.196415,68105,0.648596112,0.351403888,2010,1,2.705698871,14835930,-8888,5545
neighborhoods_219,north el monte,3703,5934.055053,78515.5,0.703030303,0.296969697,2010,0,0.624025218,9376942.5,-8888,1181
neighborhoods_220,north hills,57624,7400.346566,53638,0.733096537,0.489978435,2010,4,7.786662352,183026943.8,-8888,-9999
neighborhoods_221,north hollywood,80753,9392.290733,51477.5,0.387795741,0.767086301,2010,16,8.597796033,354721878.8,-8888,12775
neighborhoods_222,northridge,62847,4525.182116,61632,0.794145376,0.492552088,2010,3,13.88828082,366772998.8,-8888,13812
neighborhoods_223,northwest antelope valley,5387,16.95888857,81428.5,0.842702424,0.156781846,2010,0,317.6505334,57017085,-8888,17231
neighborhoods_226,norwalk,105379,7415.729501,64033.75,1.106833032,0.350695854,2010,18,14.21020009,382759395,-8888,22998
neighborhoods_227,pacific palisades,24542,735.3740975,149201.5,1.272535211,0.193460765,2010,0,33.37348988,99524550,-8888,10475
neighborhoods_228,pacoima,78104,7455.054319,46855.25,0.881372312,0.466900217,2010,16,10.47665069,375637008.8,-8888,12257
neighborhoods_229,palmdale,151589,762.1994881,59654.75,1.072693493,0.326473978,2010,0,198.8836287,1083960473,-8888,49363
neighborhoods_231,palos verdes estates,13346,1945.353681,150929,0.938828203,0.113207547,2010,0,6.860449145,53171208.75,-8888,5448
neighborhoods_232,panorama city,67680,12651.48555,45420.5,0.591530055,0.648167122,2010,12,5.349569403,213234645,-8888,9116
neighborhoods_233,paramount,54737,7748.849611,44255.25,0.605959085,0.565471523,2010,10,7.063887254,272065432.5,-8888,8785
neighborhoods_235,pico rivera,64384,5024.584713,59281.5,1.105201015,0.308341697,2010,10,12.8137953,364936946.3,-8888,14923
neighborhoods_236,pico-robertson,17667,11726.54644,61139.5,0.232501816,0.77670138,2010,0,1.506581677,56628195,-8888,3870
neighborhoods_237,pico-union,41161,16885.04743,27058,0.154723907,0.905521864,2010,14,2.437718945,80799720,-8888,3580
neighborhoods_238,playa del rey,11114,2769.697705,95828.25,0.731047235,0.534375525,2010,0,4.012712283,45105652.5,-8888,4289
neighborhoods_239,playa vista,8498,4486.26902,83654,0.43864598,0.561824165,2010,0,1.894224346,59668353.75,-8888,2929
neighborhoods_240,pomona,148318,4430.182326,58700.25,0.882129178,0.448082271,2010,23,33.47898327,847870717.5,-8888,33098
neighborhoods_241,porter ranch,30571,3727.106963,109785.5,1.12431466,0.105244338,2010,0,8.202340396,131416882.5,-8888,9080
neighborhoods_242,quartz hill,10928,1951.992876,62894.5,0.801260965,0.282346491,2010,0,5.598381087,98557353.75,-8888,3664
