geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,year,name,solar_potential,pop,usage_percap
cities_113,NA,NA,NA,NA,condo,2016,big bear lake,NA,NA,NA
cities_113,NA,NA,NA,NA,industrial,2016,big bear lake,NA,NA,NA
cities_113,NA,NA,NA,NA,institutional,2016,big bear lake,NA,NA,NA
cities_113,NA,NA,NA,NA,multi_family,2016,big bear lake,NA,NA,NA
cities_113,NA,NA,NA,NA,other,2016,big bear lake,NA,NA,NA
cities_113,NA,NA,NA,NA,residential_other,2016,big bear lake,NA,NA,NA
cities_113,NA,NA,NA,NA,residential_uncat,2016,big bear lake,NA,NA,NA
cities_113,NA,NA,NA,NA,res_total,2016,big bear lake,NA,4909,NA
cities_113,NA,NA,NA,NA,single_family,2016,big bear lake,NA,NA,NA
cities_113,NA,NA,NA,NA,uncat,2016,big bear lake,NA,NA,NA
cities_114,67281,masked,masked,masked,agriculture,2016,chino,NA,NA,masked
cities_114,8533131,124787583.0000,41311,8.2151,commercial,2016,chino,NA,NA,NA
cities_114,5249878,29141752.5000,6335,4.0427,condo,2016,chino,NA,NA,NA
cities_114,21940532,masked,masked,masked,industrial,2016,chino,NA,NA,masked
cities_114,551518,masked,masked,masked,institutional,2016,chino,NA,NA,masked
cities_114,1932383,15812341.5000,10993.5,6.5829,multi_family,2016,chino,NA,NA,NA
cities_114,175894,masked,masked,masked,other,2016,chino,NA,NA,masked
cities_114,446054,6337067.0000,8509,NA,residential_other,2016,chino,NA,NA,NA
cities_114,0,2947619.3000,NA,NA,residential_uncat,2016,chino,NA,NA,NA
cities_114,33613963,173660451.8000,7681,4.4703,res_total,2016,chino,NA,78895,2201.1592
cities_114,25985648,119421671.5000,8046,4.5298,single_family,2016,chino,NA,NA,NA
cities_114,0,885035.0000,NA,NA,uncat,2016,chino,NA,NA,NA
cities_115,25794,masked,masked,masked,agriculture,2016,chino hills,NA,NA,masked
cities_115,2356224,97073057.0000,154165,16.4953,commercial,2016,chino hills,NA,NA,NA
cities_115,1801115,9957646.0000,5958,4.3323,condo,2016,chino hills,NA,NA,NA
cities_115,88346,masked,masked,masked,industrial,2016,chino hills,NA,NA,masked
cities_115,148048,masked,masked,masked,institutional,2016,chino hills,NA,NA,masked
cities_115,1458152,10904849.5000,16446,5.7801,multi_family,2016,chino hills,NA,NA,NA
cities_115,96596,7222699.0000,5483.5,NA,other,2016,chino hills,NA,NA,NA
cities_115,976550,6342094.0000,7107,5.8734,residential_other,2016,chino hills,NA,NA,NA
cities_115,0,776969.0000,NA,NA,residential_uncat,2016,chino hills,NA,NA,NA
